,PMID,title,abstract,year,keyw,affiliation,lang,journal,country,authors,pub_type,keywords,decades,ventennio
0,15400736,"['What', 'cellulite', 'treat', 'it']",,1949,CELLULITIS,[],['fre'],['Monde medical'],['France'],"[['ALQUIER', 'L']]",['Journal Article'],['CELLULITIS'],40s,30-50s
1,15395439,"['The', 'determination', 'level', 'leukocytes', 'blood', 'stream', 'inflammation', 'thermostable', 'component', 'concerned', 'mechanism', 'leukocytosis']",,1949,LEUKOCYTES,[],['eng'],['Blood'],['United States'],"[['MENKIN', 'V']]",['Journal Article'],['LEUKOCYTES'],40s,30-50s
2,15393211,"['Appendiceal', 'abscess', 'months', 'old', 'child']",,1949,APPENDICITIS,[],['eng'],['The Proceedings of the Institute of Medicine of Chicago'],['United States'],"[['BOROVSKY', 'M P']]",['Journal Article'],['APPENDICITIS'],40s,30-50s
3,15399747,"['Commentary', 'clinical', 'diagnostic', 'evolution', 'probable', 'pyogenic', 'abscess', 'liver']",,1949,LIVER,[],['spa'],['Galicia-clinica'],['Spain'],"[['FERNANDEZ CRUZ', 'A'], ['LORENZO ABELLA', 'M']]",['Journal Article'],['LIVER'],40s,30-50s
4,15396070,"['Loefflers', 'syndrome', 'associated', 'eosinophilic', 'polyserositis']",,1949,EOSINOPHILS,[],['eng'],['The American journal of medicine'],['United States'],"[['DICKIE', 'H A'], ['GRIMM', 'E']]",['Journal Article'],['EOSINOPHILS'],40s,30-50s
5,15394945,"['Staphylococcic', 'septicemia', 'vegetative', 'endocarditis', 'tricuspid', 'valve']",,1949,ENDOCARDITIS INFECTIOUS STAPHYLOCOCCI,[],['eng'],['United States naval medical bulletin'],['United States'],"[['PIERCE', 'W F']]",['Journal Article'],"['ENDOCARDITIS', 'INFECTIOUS', 'STAPHYLOCOCCI']",40s,30-50s
6,18142692,"['Acute', 'mastitis']",,1949,BREASTinflammation,[],['eng'],"['Lancet (London, England)']",['England'],"[['WALSH', 'A']]",['Journal Article'],['BREASTinflammation'],40s,30-50s
7,18144101,"['The', 'sedimentation', 'rate', 'mumps', 'epididymoorchitis']",,1949,BLOODsedimentation EPIDIDYMITIS TESTESinflammation,[],['eng'],['The Journal of urology'],['United States'],"[['FOX', 'M J'], ['HEEN', 'R C']]",['Journal Article'],"['BLOODsedimentation', 'EPIDIDYMITIS', 'TESTESinflammation']",40s,30-50s
8,18141886,"['Bacteraemia', 'following', 'dental', 'extractions']",,1949,BACTEREMIA TEETHextraction,[],['eng'],"['Lancet (London, England)']",['England'],"[['McENTEGART', 'M G'], ['PORTERFIELD', 'J S']]",['Journal Article'],"['BACTEREMIA', 'TEETHextraction']",40s,30-50s
9,18140652,"['Septicemia', 'Salmonella', 'enteritidis', 'Salmonella', 'blegdam']",,1949,SALMONELLAinfection SEPTICEMIAetiology and pathogenesis,[],['eng'],['Journal of the American Medical Association'],['United States'],"[['BAKER', 'M P'], ['BRAGDON', 'J H']]",['Journal Article'],"['SALMONELLAinfection', 'SEPTICEMIAetiology', 'and', 'pathogenesis']",40s,30-50s
